annotation,concept,label
"\Вечера на хуторе близ Диканьки — первый сборник Гоголя, который сразу сделал его имя известным. Пушкин смеялся, читая эти истории, и высоко оценил молодого писателя. Гоголь тонко уловил моду на народную тему и оформил книгу как \вечерницы — сказания, которые рассказывают на закате. За вертепным рассказом о черте, который крадет месяц, следует мрачная легенда о колдуне. Фольклор, сатира, мистика создают мир, где смешное соседствует с жутким. Сборник состоит из двух частей и объединен образом рассказчика — пасечника Рудого Панька. Это истории, в которых народные предания, мистические события и живые сцены из деревенской жизни переплетаются так естественно, что грань между вымыслом и реальностью почти исчезает. Повседневное соседствует с невероятным, но человек остается главным чудом среди чудес.",фольклор,1
"Иуда из Кариота – символ предательства, великий грешник, обрекший Иисуса Христа на смерть. При этом Иуда, пожалуй, самый загадочный евангельский персонаж – тем он и притягателен для Леонида Андреева с его интересом к противоречиям в человеческой душе. Повесть «Иуда Искариот», по словам самого автора, – «фантазия на тему о предательстве, добре и зле». Андреев пытается понять, что руководило поступками Иуды и почему он убивает себя. Писатель наполняет евангельский сюжет предательства психологическим содержанием, размышляя о любви и ненависти, страдании и жертвенности, случайном и неизбежном. В сборник также вошли роман «Дневник Сатаны», повести «Жизнь Василия Фивейского», «Рассказ о семи повешенных» и другие произведения разных периодов творчества Андреева.",утопия,0
"Психологический роман о характере человека, внутреннем конфликте, разочаровании и выборе.",эмоциональное_выгорание,0
"\Война и мир — роман-эпопея Льва Толстого, одно из крупнейших произведений мировой литературы, описывающее жизнь русского общества в эпоху Наполеоновских войн. \Война и мир — это масштабная картина жизни России, взятая во всех ее социальных слоях (от крестьян до императора Александра I), и детальное описание хода военных действий, и осмысление поведения человека на войне, но главное — это глубокое философское осмысление и исследование жизни как таковой — в быту, в семье, в мирное время, на войне. Именно поэтому \Войну и мир\"" можно читать и перечитывать всю жизнь — этот роман никогда не потеряет своей актуальности.""",общество,1
"\Вечера на хуторе близ Диканьки — первый сборник Гоголя, который сразу сделал его имя известным. Пушкин смеялся, читая эти истории, и высоко оценил молодого писателя. Гоголь тонко уловил моду на народную тему и оформил книгу как \вечерницы — сказания, которые рассказывают на закате. За вертепным рассказом о черте, который крадет месяц, следует мрачная легенда о колдуне. Фольклор, сатира, мистика создают мир, где смешное соседствует с жутким. Сборник состоит из двух частей и объединен образом рассказчика — пасечника Рудого Панька. Это истории, в которых народные предания, мистические события и живые сцены из деревенской жизни переплетаются так естественно, что грань между вымыслом и реальностью почти исчезает. Повседневное соседствует с невероятным, но человек остается главным чудом среди чудес.",солдатская_судьба,0
"Александр Куприн — писатель, исследующий любовь в самых разных ее проявлениях. Так, повесть «Гранатовый браслет» рассказывает о чиновнике Желтковом, который, будучи одержим нежными чувствами к прекрасной, но недоступной княгине Вере Шеиной, дарит ей дорогое изящное украшение как символ своей любви. Современники восприняли произведение неоднозначно: одни видели в нем трогательную историю, другие — трагедию. Что значит любить и чем вы готовы пожертвовать ради своих чувств? Куприн мастерски передает атмосферу начала XX века и многослойность эмоций персонажей, создавая атмосферу глубокой тоски и нежности.",нигилизм,0
"«История одного города» – язвительное, полное иронии произведение, в котором под видом «летописи» вымышленного города Глупова автор беспощадно обличает типичные пороки российского общества – глупость, самодурство и взяточничество власть имущих, казнокрадство и низкопоклонничество чиновников, лень, необразованность и мракобесие. К сожалению, приходится признать, что гомерически смешная и жестокая фантасмагория Салтыкова-Щедрина не утратила актуальности и в наши дни.",внутренний_конфликт,0
"Князь Лев Николаевич Мышкин возвращается в Россию после пребывания в санатории и оказывается втянутым в сложный любовный треугольник. Его искренние порывы и чувства сталкиваются с жестоким миром ревности, самолюбия и пресыщенности окружающих. Такие насыщенные сюжеты всегда «обречены» вызывать в читателе автоматический эффект присутствия. Секрет не только и не столько в событийных перипетиях, сколько в великолепно выписанных персонажах и электрических разрядах между ними. Суммой всех слагаемых становится превращение эффекта присутствия в «эффект соучастия»: погружаясь в роман, вы становитесь сначала невидимым свидетелем событий, а потом сживаетесь с главным героем так прочно, что смотрите его глазами и меряете его мир биением собственного сердца. И тогда возникает главный вопрос: как выжить в этом мире, который казался вымышленным и вдруг стал таким реальным, и как здесь не сойти с ума. В конце концов, может ли общество определять степень чьей-то «нормальности»? Вообще, кто из нас князь Мышкин?",героизм,0
"Князь Лев Николаевич Мышкин возвращается в Россию после пребывания в санатории и оказывается втянутым в сложный любовный треугольник. Его искренние порывы и чувства сталкиваются с жестоким миром ревности, самолюбия и пресыщенности окружающих. Такие насыщенные сюжеты всегда «обречены» вызывать в читателе автоматический эффект присутствия. Секрет не только и не столько в событийных перипетиях, сколько в великолепно выписанных персонажах и электрических разрядах между ними. Суммой всех слагаемых становится превращение эффекта присутствия в «эффект соучастия»: погружаясь в роман, вы становитесь сначала невидимым свидетелем событий, а потом сживаетесь с главным героем так прочно, что смотрите его глазами и меряете его мир биением собственного сердца. И тогда возникает главный вопрос: как выжить в этом мире, который казался вымышленным и вдруг стал таким реальным, и как здесь не сойти с ума. В конце концов, может ли общество определять степень чьей-то «нормальности»? Вообще, кто из нас князь Мышкин?",любовь,1
"В окружном суде слушается дело о похищении денег и отравлении купца Смелькова. Князь Дмитрий Нехлюдов, один из присяжных заседателей, узнает в обвиняемой проститутке Катюшу Маслову — милую девушку, которую он соблазнил и бросил в юности. Терзаемый муками совести, он решает помочь Катюше. Нехлюдов готов последовать за ней на каторгу в Сибирь и даже жениться, чтобы искупить свою вину. «Воскресение» — последний роман Льва Толстого, который затрагивает темы ответственности, вины и духовного воскресения души.",ответственность,1
"«История одного города» – язвительное, полное иронии произведение, в котором под видом «летописи» вымышленного города Глупова автор беспощадно обличает типичные пороки российского общества – глупость, самодурство и взяточничество власть имущих, казнокрадство и низкопоклонничество чиновников, лень, необразованность и мракобесие. К сожалению, приходится признать, что гомерически смешная и жестокая фантасмагория Салтыкова-Щедрина не утратила актуальности и в наши дни.",героизм,0
"Истории, основанные на личном опыте Булгакова, — о внутренней борьбе и сострадании к ближнему, о чувстве долга и о надежде даже в самых отчаянных обстоятельствах. Молодого врача, только что окончившего университет, направляют работать в больницу в глуши. Там, один на один со сложными случаями, дремучестью пациентов и тяжелым каждодневным трудом, ему предстоит борьба с собственными страхами и сомнениями. \Записки юного врача — гимн (и одновременно реквием) земской медицине, где герой балансирует между подвижничеством и отчаянием.",несчастье,0
Джордж Оруэлл — один из самых читаемых в мире авторов... Этот роман-предупреждение об опасности тоталитаризма стал одной из самых известных антиутопий XX века...,фольклор,0
"\Машенька (1926) — первый и во многом автобиографический роман, написанный Владимиром Набоковым в Берлине и посвященный русскому прошлому писателя. Молодой эмигрант Лев Ганин в немецком пансионе заново переживает историю своей первой любви, оборванную революцией. Сила творческой памяти позволяет ему преодолеть физическую разлуку с Машенькой (прототипом которой стала возлюбленная Набокова Валентина Шульгина), воссозданные его воображением картины дореволюционной России оказываются значительнее и ярче окружающих его декораций настоящего.",общественные_пороки,0
"Отцы и дети — знаменитый роман Тургенева, ставший чуть ли не самым значительным произведением в истории о взаимоотношениях поколений. Споры главного героя Евгения Базарова, называющего себя нигилистом и отрицающего расхожие представления о жизни, искусстве, морали, природе человека, и его антагониста Павла Кирсанова, аристократа до мозга костей, составляют главную проблематику романа. Но сюжетная канва строится скорее на внутреннем конфликте самого Базарова. Только что отрицавший все и вся герой, не веривший в любовь, смеявшийся над своим приятелем, способным на нежные чувства, вдруг сам страстно и пылко влюбляется. И все вдруг переворачивается вверх дном — с любовью Базаров совладать не в силах, она оказывается сильнее самых твердых убеждений.",гордость,0
"Вошедшие в этот сборник «Ревизор» и «Женитьба» – две замечательные сатирические комедии Гоголя, два шедевра классической русской комедиографии, уже почти полтора столетия не сходящие с лучших сцен нашей страны и неоднократно экранизированные. Что же делает эти произведения актуальными? Не то ли, что типажи, так блестяще описанные Гоголем, – проворовавшиеся ленивые чиновники, провинциальные нувориши и их нелепо претендующие на столичный шик дочки, трусоватые женихи, никак не готовые расстаться с холостяцкой долей, и бойкие напористые свахи, – частенько встречаются нам и сейчас?",преступление,0
"\Вечера на хуторе близ Диканьки — первый сборник Гоголя, который сразу сделал его имя известным. Пушкин смеялся, читая эти истории, и высоко оценил молодого писателя. Гоголь тонко уловил моду на народную тему и оформил книгу как \вечерницы — сказания, которые рассказывают на закате. За вертепным рассказом о черте, который крадет месяц, следует мрачная легенда о колдуне. Фольклор, сатира, мистика создают мир, где смешное соседствует с жутким. Сборник состоит из двух частей и объединен образом рассказчика — пасечника Рудого Панька. Это истории, в которых народные предания, мистические события и живые сцены из деревенской жизни переплетаются так естественно, что грань между вымыслом и реальностью почти исчезает. Повседневное соседствует с невероятным, но человек остается главным чудом среди чудес.",легенда,0
"«История одного города» – язвительное, полное иронии произведение, в котором под видом «летописи» вымышленного города Глупова автор беспощадно обличает типичные пороки российского общества – глупость, самодурство и взяточничество власть имущих, казнокрадство и низкопоклонничество чиновников, лень, необразованность и мракобесие. К сожалению, приходится признать, что гомерически смешная и жестокая фантасмагория Салтыкова-Щедрина не утратила актуальности и в наши дни.",общество,1
"Знаковый роман, с которого официально отсчитывают само существование жанра \антиутопия Запрещенный в советский период, теперь он считается одним из классических произведений не только русской, но и мировой литературы ХХ века. Роман об \обществе равных, в котором человеческая личность сведена к \нумеру. В нем унифицировано все — одежда и квартиры, мысли и чувства. Нет ни семьи, ни прочных привязанностей... Но можно ли вытравить из человека жажду свободы, пока он остается человеком?",героизм,0
"Князь Лев Николаевич Мышкин возвращается в Россию после пребывания в санатории и оказывается втянутым в сложный любовный треугольник. Его искренние порывы и чувства сталкиваются с жестоким миром ревности, самолюбия и пресыщенности окружающих. Такие насыщенные сюжеты всегда «обречены» вызывать в читателе автоматический эффект присутствия. Секрет не только и не столько в событийных перипетиях, сколько в великолепно выписанных персонажах и электрических разрядах между ними. Суммой всех слагаемых становится превращение эффекта присутствия в «эффект соучастия»: погружаясь в роман, вы становитесь сначала невидимым свидетелем событий, а потом сживаетесь с главным героем так прочно, что смотрите его глазами и меряете его мир биением собственного сердца. И тогда возникает главный вопрос: как выжить в этом мире, который казался вымышленным и вдруг стал таким реальным, и как здесь не сойти с ума. В конце концов, может ли общество определять степень чьей-то «нормальности»? Вообще, кто из нас князь Мышкин?",гражданская_война,0
